Date,Time,RBoom_Angle,* PRSTiltSensorBin,* PRSTiltSensorEng,ShearerPosition
5/9/2023,53:54.8,9.91,2029,98,51
5/9/2023,53:55.1,9.91,2029,98,51
5/9/2023,53:55.3,9.91,2029,98,51
5/9/2023,53:55.6,9.91,2029,98,51
5/9/2023,53:55.8,9.91,2029,98,51
5/9/2023,53:56.1,9.91,2029,98,51
5/9/2023,53:56.4,9.91,2029,98,51
5/9/2023,53:56.6,9.91,2029,98,51
5/9/2023,53:56.9,9.91,2029,98,51
5/9/2023,53:57.1,9.91,2030,99,51
5/9/2023,53:57.4,9.91,2030,99,51
5/9/2023,53:57.7,9.91,2030,99,51
5/9/2023,53:57.9,9.91,2030,99,51
5/9/2023,53:58.2,9.91,2029,98,51
5/9/2023,53:58.4,9.91,2029,98,51
5/9/2023,53:58.8,9.91,2029,98,51
5/9/2023,53:59.0,9.91,2029,98,51
5/9/2023,53:59.2,9.91,2029,98,51
5/9/2023,53:59.5,9.91,2029,98,51
5/9/2023,53:59.7,9.91,2030,99,51
5/9/2023,54:00.0,9.91,2030,99,51
5/9/2023,54:00.3,9.91,2030,99,51
5/9/2023,54:00.5,9.91,2030,99,51
5/9/2023,54:00.8,9.91,2029,98,51
5/9/2023,54:01.0,9.91,2029,98,51
5/9/2023,54:01.4,9.91,2029,98,51
5/9/2023,54:01.6,9.91,2029,98,51
5/9/2023,54:01.8,9.91,2029,98,51
5/9/2023,54:02.1,9.91,2029,98,51
5/9/2023,54:02.4,9.91,2029,98,51
5/9/2023,54:02.6,9.91,2029,98,51
5/9/2023,54:02.9,9.91,2029,98,51
5/9/2023,54:03.1,9.91,2029,98,51
5/9/2023,54:03.4,9.91,2029,98,51
5/9/2023,54:03.6,9.91,2029,98,51
5/9/2023,54:03.9,9.91,2030,99,51
5/9/2023,54:04.2,9.91,2030,99,51
5/9/2023,54:04.5,9.91,2030,99,51
5/9/2023,54:04.7,9.91,2030,99,51
5/9/2023,54:05.0,9.91,2030,99,51
5/9/2023,54:05.2,9.91,2030,99,51
5/9/2023,54:05.6,9.91,2030,99,51
5/9/2023,54:05.7,9.91,2030,99,51
5/9/2023,54:06.0,9.91,2030,99,51
5/9/2023,54:06.3,9.91,2030,99,51
5/9/2023,54:06.5,9.91,2031,100,51
5/9/2023,54:06.7,9.91,2031,100,51
5/9/2023,54:07.1,9.91,2030,99,51
5/9/2023,54:07.3,9.91,2030,99,51
5/9/2023,54:07.6,9.91,2029,98,51
5/9/2023,54:07.8,9.91,2029,98,51
5/9/2023,54:08.1,9.91,2030,99,51
5/9/2023,54:08.3,9.91,2030,99,51
5/9/2023,54:08.6,9.91,2029,98,51
5/9/2023,54:08.9,9.91,2029,98,51
5/9/2023,54:09.1,9.91,2029,98,51
5/9/2023,54:09.4,9.91,2029,98,51
5/9/2023,54:09.6,9.91,2029,98,51
5/9/2023,54:09.9,9.9,2029,98,51
5/9/2023,54:10.1,9.94,2029,98,51
5/9/2023,54:10.5,10.37,2030,99,51
5/9/2023,54:10.7,10.3,2032,101,51
5/9/2023,54:10.9,10.07,2032,101,51
5/9/2023,54:11.2,10.28,2033,102,51
5/9/2023,54:11.5,9.75,2033,102,51
5/9/2023,54:11.7,9.95,2029,98,51
5/9/2023,54:11.9,9.67,2029,98,51
5/9/2023,54:12.2,10.11,2038,107,51
5/9/2023,54:12.5,10.17,2038,107,51
5/9/2023,54:12.7,9.79,2036,105,51
5/9/2023,54:13.0,10.13,2036,105,51
5/9/2023,54:13.3,10.09,2028,97,51
5/9/2023,54:13.5,9.78,2028,97,51
5/9/2023,54:13.9,9.84,2028,97,51
5/9/2023,54:14.1,9.8,2028,97,51
5/9/2023,54:14.3,9.62,2031,100,51
5/9/2023,54:14.6,10.08,2031,100,51
5/9/2023,54:14.9,10.34,2029,98,51
5/9/2023,54:15.1,10.49,2029,98,51
5/9/2023,54:15.4,10.55,2030,99,51
5/9/2023,54:15.6,10.15,2030,99,51
5/9/2023,54:15.9,10.44,2030,99,51
5/9/2023,54:16.1,9.64,2030,99,51
5/9/2023,54:16.4,10.04,2036,105,51
5/9/2023,54:16.7,9.96,2036,105,51
5/9/2023,54:16.9,10.31,2029,98,51
5/9/2023,54:17.2,10.02,2029,98,51
5/9/2023,54:17.4,10.12,2034,103,51
5/9/2023,54:17.7,10.2,2034,103,51
5/9/2023,54:18.0,9.78,2034,103,51
5/9/2023,54:18.2,9.75,2034,103,51
5/9/2023,54:18.5,9.33,2032,101,51
5/9/2023,54:18.7,10.22,2032,101,51
5/9/2023,54:19.0,9.98,2033,102,51
5/9/2023,54:19.3,10.19,2033,102,51
5/9/2023,54:19.5,10.05,2036,105,51
5/9/2023,54:19.8,9.84,2036,105,51
5/9/2023,54:20.1,10.35,2031,100,50
5/9/2023,54:20.3,10.07,2031,100,50
5/9/2023,54:20.6,10.08,2031,100,50
5/9/2023,54:20.8,9.63,2031,100,50
5/9/2023,54:21.1,9.68,2030,99,50
5/9/2023,54:21.3,9.63,2030,99,50
5/9/2023,54:21.6,9.99,2026,95,50
5/9/2023,54:21.8,9.95,2026,95,50
5/9/2023,54:22.1,10.34,2022,91,50
5/9/2023,54:22.4,9.96,2022,91,50
5/9/2023,54:22.6,9.74,2024,93,50
5/9/2023,54:22.9,9.7,2024,93,50
5/9/2023,54:23.2,9.63,2027,96,50
5/9/2023,54:23.5,10.4,2027,96,50
5/9/2023,54:23.7,10.14,2029,98,50
5/9/2023,54:23.9,9.82,2029,98,50
5/9/2023,54:24.2,9.74,2028,97,50
5/9/2023,54:24.5,9.61,2028,97,50
5/9/2023,54:24.8,10.06,2031,100,50
5/9/2023,54:25.0,9.86,2031,100,50
5/9/2023,54:25.3,9.52,2031,100,50
5/9/2023,54:25.5,9.98,2031,100,50
5/9/2023,54:25.8,9.85,2032,101,50
5/9/2023,54:26.1,10.07,2032,101,50
5/9/2023,54:26.3,9.75,2030,99,50
5/9/2023,54:26.6,10.07,2030,99,50
5/9/2023,54:26.8,9.93,2028,97,50
5/9/2023,54:27.1,9.95,2028,97,50
5/9/2023,54:27.4,9.93,2025,94,50
5/9/2023,54:27.6,9.93,2025,94,50
5/9/2023,54:27.9,9.31,2024,93,50
5/9/2023,54:28.1,9.72,2024,93,50
5/9/2023,54:28.4,9.91,2028,97,50
5/9/2023,54:28.6,9.55,2028,97,50
5/9/2023,54:28.9,10.67,2030,99,50
5/9/2023,54:29.2,9.95,2030,99,50
5/9/2023,54:29.4,10.3,2031,100,50
5/9/2023,54:29.7,10.1,2031,100,50
5/9/2023,54:30.0,10.31,2032,101,50
5/9/2023,54:30.2,9.86,2032,101,49
5/9/2023,54:30.5,9.76,2034,103,49
5/9/2023,54:30.7,9.61,2034,103,49
5/9/2023,54:31.0,9.89,2035,104,49
5/9/2023,54:31.3,9.26,2035,104,49
5/9/2023,54:31.5,10.39,2033,102,49
5/9/2023,54:31.8,9.95,2033,102,49
5/9/2023,54:32.0,10.05,2031,100,49
5/9/2023,54:32.3,9.69,2031,100,49
5/9/2023,54:32.6,9.97,2032,101,49
5/9/2023,54:32.8,10.01,2032,101,49
5/9/2023,54:33.1,9.41,2031,100,49
5/9/2023,54:33.4,10.28,2031,100,49
5/9/2023,54:33.6,9.94,2030,99,49
5/9/2023,54:33.8,9.13,2030,99,49
5/9/2023,54:34.1,9.66,2022,91,49
5/9/2023,54:34.4,9.82,2022,91,49
5/9/2023,54:34.6,9.71,2022,91,49
5/9/2023,54:34.9,9.66,2022,91,49
5/9/2023,54:35.2,9.9,2022,91,49
5/9/2023,54:35.4,10.01,2022,91,49
5/9/2023,54:35.7,9.25,2027,96,49
5/9/2023,54:36.0,9.86,2027,96,49
5/9/2023,54:36.2,10.12,2030,99,49
5/9/2023,54:36.4,10.13,2030,99,49
5/9/2023,54:36.7,9.99,2031,100,49
5/9/2023,54:37.0,9.76,2031,100,49
5/9/2023,54:37.2,9.95,2034,103,49
5/9/2023,54:37.5,9.65,2034,103,49
5/9/2023,54:37.8,9.99,2033,102,49
5/9/2023,54:38.1,9.43,2033,102,49
5/9/2023,54:38.3,9.43,2035,104,49
5/9/2023,54:38.5,9.96,2035,104,49
5/9/2023,54:38.8,10.13,2030,99,49
5/9/2023,54:39.2,10.26,2030,99,49
5/9/2023,54:39.3,10.04,2030,99,49
5/9/2023,54:39.6,9.7,2030,99,49
5/9/2023,54:39.8,9.63,2021,90,49
5/9/2023,54:40.1,9.81,2021,90,49
5/9/2023,54:40.3,9.91,2022,91,48
5/9/2023,54:40.6,10.25,2022,91,48
5/9/2023,54:40.9,9.22,2018,87,48
5/9/2023,54:41.2,9.79,2018,87,48
5/9/2023,54:41.4,10.11,2024,93,48
5/9/2023,54:41.6,9.68,2024,93,48
5/9/2023,54:41.9,9.84,2027,96,48
5/9/2023,54:42.1,9.76,2027,96,48
5/9/2023,54:42.4,9.81,2033,102,48
5/9/2023,54:42.7,9.86,2033,102,48
5/9/2023,54:43.0,10.05,2032,101,48
5/9/2023,54:43.2,10.18,2032,101,48
5/9/2023,54:43.5,9.62,2032,101,48
5/9/2023,54:43.7,9.75,2032,101,48
5/9/2023,54:44.0,9.14,2034,103,48
5/9/2023,54:44.3,9.62,2034,103,48
5/9/2023,54:44.6,10.14,2030,99,48
5/9/2023,54:44.8,9.65,2030,99,48
5/9/2023,54:45.0,9.6,2027,96,48
5/9/2023,54:45.3,9.8,2027,96,48
5/9/2023,54:45.6,10.17,2022,91,48
5/9/2023,54:45.8,9.48,2022,91,48
5/9/2023,54:46.1,9.4,2022,91,48
5/9/2023,54:46.3,9.87,2022,91,48
5/9/2023,54:46.6,9.36,2029,98,48
5/9/2023,54:46.8,9.93,2029,98,48
5/9/2023,54:47.1,9.92,2032,101,48
5/9/2023,54:47.4,9.58,2032,101,48
5/9/2023,54:47.6,9.93,2030,99,48
5/9/2023,54:47.9,9.88,2030,99,48
5/9/2023,54:48.1,9.73,2029,98,48
5/9/2023,54:48.4,9.81,2029,98,48
5/9/2023,54:48.7,9.65,2035,104,48
5/9/2023,54:48.9,9.39,2035,104,48
5/9/2023,54:49.2,9.99,2033,102,48
5/9/2023,54:49.5,9.6,2033,102,48
5/9/2023,54:49.7,10,2034,103,48
5/9/2023,54:50.0,8.9,2034,103,48
5/9/2023,54:50.2,9.75,2029,98,48
5/9/2023,54:50.5,9.8,2029,98,47
5/9/2023,54:50.8,9.18,2022,91,47
5/9/2023,54:51.0,9.5,2022,91,47
5/9/2023,54:51.3,9.78,2022,91,47
5/9/2023,54:51.5,10.44,2022,91,47
5/9/2023,54:51.8,9.45,2023,92,47
5/9/2023,54:52.1,10.15,2023,92,47
5/9/2023,54:52.3,9.9,2020,89,47
5/9/2023,54:52.6,9.13,2020,89,47
5/9/2023,54:52.8,9.77,2032,101,47
5/9/2023,54:53.1,9.9,2032,101,47
5/9/2023,54:53.3,9.6,2028,97,47
5/9/2023,54:53.7,9.57,2028,97,47
5/9/2023,54:53.9,9.97,2033,102,47
5/9/2023,54:54.1,9.97,2033,102,47
5/9/2023,54:54.4,9.89,2030,99,47
5/9/2023,54:54.7,9.68,2030,99,47
5/9/2023,54:54.9,10.01,2034,103,47
5/9/2023,54:55.2,9.96,2034,103,47
5/9/2023,54:55.4,9.93,2033,102,47
5/9/2023,54:55.7,9.93,2033,102,47
5/9/2023,54:56.0,10.13,2029,98,47
5/9/2023,54:56.2,9.97,2029,98,47
5/9/2023,54:56.5,9.8,2030,99,47
5/9/2023,54:56.7,9.8,2030,99,47
5/9/2023,54:57.0,10.18,2032,101,47
5/9/2023,54:57.3,9.66,2032,101,47
5/9/2023,54:57.5,9.96,2028,97,47
5/9/2023,54:57.8,9.46,2028,97,47
5/9/2023,54:58.0,9.91,2023,92,47
5/9/2023,54:58.3,9.96,2023,92,47
5/9/2023,54:58.6,10.17,2022,91,47
5/9/2023,54:58.8,9.88,2022,91,47
5/9/2023,54:59.1,9.85,2023,92,47
5/9/2023,54:59.3,8.95,2023,92,47
5/9/2023,54:59.6,9.45,2027,96,47
5/9/2023,54:59.9,9.92,2027,96,47
5/9/2023,55:00.1,9.68,2030,99,47
5/9/2023,55:00.4,9.81,2030,99,47
5/9/2023,55:00.7,10.45,2029,98,47
5/9/2023,55:00.9,10.14,2029,98,46
5/9/2023,55:01.3,10.45,2037,106,46
5/9/2023,55:01.4,10.09,2037,106,46
5/9/2023,55:01.7,9.98,2032,101,46
5/9/2023,55:02.0,9.93,2032,101,46
5/9/2023,55:02.2,9.45,2029,98,46
5/9/2023,55:02.5,9.91,2029,98,46
5/9/2023,55:02.7,8.87,2029,98,46
5/9/2023,55:03.0,10.02,2029,98,46
5/9/2023,55:03.3,9.85,2029,98,46
5/9/2023,55:03.5,9.83,2029,98,46
5/9/2023,55:03.8,9.85,2025,94,46
5/9/2023,55:04.0,10.2,2025,94,46
5/9/2023,55:04.4,10.26,2027,96,46
5/9/2023,55:04.6,9.84,2027,96,46
5/9/2023,55:04.8,10.03,2026,95,46
5/9/2023,55:05.1,9.76,2026,95,46
5/9/2023,55:05.4,9.79,2022,91,46
5/9/2023,55:05.6,10.06,2022,91,46
5/9/2023,55:05.8,9.69,2026,95,46
5/9/2023,55:06.1,10.32,2026,95,46
5/9/2023,55:06.4,9.77,2026,95,46
5/9/2023,55:06.7,9.95,2026,95,46
5/9/2023,55:06.9,10.07,2033,102,46
5/9/2023,55:07.1,9.92,2033,102,46
5/9/2023,55:07.4,10.01,2037,106,46
5/9/2023,55:07.6,9.98,2037,106,46
5/9/2023,55:07.9,10.05,2035,104,46
5/9/2023,55:08.2,9.72,2035,104,46
5/9/2023,55:08.4,9.57,2032,101,46
5/9/2023,55:08.7,9.44,2032,101,46
5/9/2023,55:09.0,9.84,2031,100,46
5/9/2023,55:09.2,9.98,2031,100,46
5/9/2023,55:09.6,9.05,2027,96,46
5/9/2023,55:09.7,9.05,2027,96,46
5/9/2023,55:10.0,10,2023,92,46
5/9/2023,55:10.3,9.95,2023,92,46
5/9/2023,55:10.5,10.33,2022,91,46
5/9/2023,55:10.8,9.99,2022,91,46
5/9/2023,55:11.1,10.14,2023,92,45
5/9/2023,55:11.3,9.82,2023,92,45
5/9/2023,55:11.6,10.28,2026,95,45
5/9/2023,55:11.8,9.36,2026,95,45
5/9/2023,55:12.1,9.54,2033,102,45
5/9/2023,55:12.4,9.92,2033,102,45
5/9/2023,55:12.7,9.91,2034,103,45
5/9/2023,55:12.9,9.41,2034,103,45
5/9/2023,55:13.1,9.39,2034,103,45
5/9/2023,55:13.4,9.89,2032,101,45
5/9/2023,55:13.7,10.07,2029,98,45
5/9/2023,55:13.9,9.91,2029,98,45
5/9/2023,55:14.2,9.91,2029,98,45
5/9/2023,55:14.4,9.79,2030,99,45
5/9/2023,55:14.7,10.22,2026,95,45
5/9/2023,55:14.9,9.77,2026,95,45
5/9/2023,55:15.2,10.12,2026,95,45
5/9/2023,55:15.5,9.44,2022,91,45
5/9/2023,55:15.7,9.79,2022,91,45
5/9/2023,55:16.0,9.79,2023,92,45
5/9/2023,55:16.3,10.27,2024,93,45
5/9/2023,55:16.5,10.1,2024,93,45
5/9/2023,55:16.8,9.93,2030,99,45
5/9/2023,55:17.1,10.17,2030,99,45
5/9/2023,55:17.3,9.8,2030,99,45
5/9/2023,55:17.5,10.01,2033,102,45
5/9/2023,55:17.8,9.82,2033,102,45
5/9/2023,55:18.1,9.87,2033,102,45
5/9/2023,55:18.3,9.83,2032,101,45
5/9/2023,55:18.6,10.06,2032,101,45
5/9/2023,55:18.9,9.41,2031,100,45
5/9/2023,55:19.1,10.08,2031,100,45
5/9/2023,55:19.4,9.78,2030,99,45
5/9/2023,55:19.6,9.93,2030,99,45
5/9/2023,55:19.9,9.65,2030,99,45
5/9/2023,55:20.2,9.78,2030,99,45
5/9/2023,55:20.4,10.05,2028,97,45
5/9/2023,55:20.7,10.17,2028,97,45
5/9/2023,55:20.9,10,2027,96,45
5/9/2023,55:21.2,9.85,2027,96,44
5/9/2023,55:21.5,8.97,2023,92,44
5/9/2023,55:21.7,9.75,2023,92,44
5/9/2023,55:22.0,9.95,2027,96,44
5/9/2023,55:22.3,9.98,2027,96,44
5/9/2023,55:22.5,9.39,2027,96,44
5/9/2023,55:22.7,10.25,2030,99,44
5/9/2023,55:23.0,9.72,2032,101,44
5/9/2023,55:23.4,9.6,2032,101,44
5/9/2023,55:23.5,10.3,2028,97,44
5/9/2023,55:23.8,9.82,2028,97,44
5/9/2023,55:24.1,9.66,2031,100,44
5/9/2023,55:24.3,9.7,2031,100,44
5/9/2023,55:24.6,9.86,2026,95,44
5/9/2023,55:24.9,9.95,2026,95,44
5/9/2023,55:25.1,9.91,2033,102,44
5/9/2023,55:25.4,9.6,2033,102,44
5/9/2023,55:25.6,9.97,2031,100,44
5/9/2023,55:25.9,10.34,2031,100,44
5/9/2023,55:26.1,10.86,2028,97,44
5/9/2023,55:26.5,9.37,2028,97,44
5/9/2023,55:26.7,9.03,2035,104,44
5/9/2023,55:26.9,9.87,2035,104,44
5/9/2023,55:27.2,9.92,2025,94,44
5/9/2023,55:27.5,9.82,2025,94,44
5/9/2023,55:27.7,9.82,2027,96,44
5/9/2023,55:28.0,9.78,2027,96,44
5/9/2023,55:28.2,9.95,2024,93,44
5/9/2023,55:28.5,10.26,2024,93,44
5/9/2023,55:28.8,9.74,2026,95,44
5/9/2023,55:29.0,9.51,2026,95,44
5/9/2023,55:29.3,9.58,2028,97,44
5/9/2023,55:29.6,9.8,2028,97,44
5/9/2023,55:29.8,10.24,2031,100,44
5/9/2023,55:30.1,10.25,2031,100,44
5/9/2023,55:30.3,9.85,2031,100,44
5/9/2023,55:30.6,9.52,2031,100,44
5/9/2023,55:30.8,9.36,2034,103,44
5/9/2023,55:31.1,9.68,2034,103,44
5/9/2023,55:31.3,9.87,2032,101,43
5/9/2023,55:31.6,9.69,2032,101,43
5/9/2023,55:31.9,9.66,2029,98,43
5/9/2023,55:32.1,9.98,2029,98,43
5/9/2023,55:32.4,10.12,2023,92,43
5/9/2023,55:32.7,9.22,2023,92,43
5/9/2023,55:32.9,9.61,2027,96,43
5/9/2023,55:33.2,9.81,2027,96,43
5/9/2023,55:33.4,9.95,2022,91,43
5/9/2023,55:33.7,9.56,2022,91,43
5/9/2023,55:33.9,9.73,2020,89,43
5/9/2023,55:34.2,9.97,2020,89,43
5/9/2023,55:34.5,10.25,2027,96,43
5/9/2023,55:34.7,10.24,2027,96,43
5/9/2023,55:35.0,8.94,2035,104,43
5/9/2023,55:35.3,9.56,2035,104,43
5/9/2023,55:35.5,9.93,2032,101,43
5/9/2023,55:35.8,9.75,2032,101,43
5/9/2023,55:36.0,9.55,2038,107,43
5/9/2023,55:36.3,10.19,2038,107,43
5/9/2023,55:36.5,9.82,2039,108,43
5/9/2023,55:36.8,10.07,2039,108,43
5/9/2023,55:37.1,9.96,2034,103,43
5/9/2023,55:37.3,9.93,2034,103,43
5/9/2023,55:37.6,9.28,2033,102,43
5/9/2023,55:37.9,9.95,2033,102,43
5/9/2023,55:38.1,9.82,2033,102,43
5/9/2023,55:38.3,9.31,2033,102,43
5/9/2023,55:38.6,9.93,2025,94,43
5/9/2023,55:38.9,9.79,2025,94,43
5/9/2023,55:39.2,9.46,2024,93,43
5/9/2023,55:39.4,9.93,2024,93,43
5/9/2023,55:39.7,9.75,2028,97,43
5/9/2023,55:39.9,9.93,2028,97,43
5/9/2023,55:40.2,10.18,2028,97,43
5/9/2023,55:40.5,9.94,2028,97,43
5/9/2023,55:40.7,9.88,2031,100,43
5/9/2023,55:41.0,9.47,2031,100,43
5/9/2023,55:41.3,9.93,2032,101,43
5/9/2023,55:41.5,9.79,2032,101,43
5/9/2023,55:41.7,9.82,2030,99,42
5/9/2023,55:42.0,10.05,2030,99,42
5/9/2023,55:42.3,9.75,2026,95,42
5/9/2023,55:42.5,9.78,2026,95,42
5/9/2023,55:42.8,10.2,2029,98,42
5/9/2023,55:43.1,9.94,2029,98,42
5/9/2023,55:43.3,9.69,2029,98,42
5/9/2023,55:43.6,9.21,2027,96,42
5/9/2023,55:43.8,9.81,2027,96,42
5/9/2023,55:44.1,9.43,2027,96,42
5/9/2023,55:44.3,9.39,2020,89,42
5/9/2023,55:44.6,10.3,2020,89,42
5/9/2023,55:44.9,9.73,2024,93,42
5/9/2023,55:45.1,9.93,2024,93,42
5/9/2023,55:45.4,10.56,2024,93,42
5/9/2023,55:45.6,9.92,2024,93,42
5/9/2023,55:45.9,9.8,2023,92,42
5/9/2023,55:46.2,9.61,2023,92,42
5/9/2023,55:46.4,9.67,2028,97,42
5/9/2023,55:46.7,9.37,2028,97,42
5/9/2023,55:46.9,9.74,2021,90,42
5/9/2023,55:47.2,9.83,2021,90,42
5/9/2023,55:47.5,9.59,2025,94,42
5/9/2023,55:47.7,9.59,2025,94,42
5/9/2023,55:48.0,9.69,2030,99,42
5/9/2023,55:48.3,9.76,2030,99,42
5/9/2023,55:48.5,9.21,2029,98,42
5/9/2023,55:48.8,9.95,2029,98,42
5/9/2023,55:49.0,9.65,2034,103,42
5/9/2023,55:49.3,10.22,2034,103,42
5/9/2023,55:49.5,9.8,2029,98,42
5/9/2023,55:49.8,9.63,2029,98,42
5/9/2023,55:50.1,9.95,2024,93,42
5/9/2023,55:50.4,9.73,2024,93,42
5/9/2023,55:50.6,9.48,2021,90,42
5/9/2023,55:50.8,9.81,2021,90,42
5/9/2023,55:51.1,9.16,2018,87,42
5/9/2023,55:51.4,9.66,2018,87,42
5/9/2023,55:51.6,9.99,2023,92,42
5/9/2023,55:51.9,9.62,2023,92,41
5/9/2023,55:52.2,9.16,2024,93,41
5/9/2023,55:52.4,9.71,2024,93,41
5/9/2023,55:52.7,9.74,2029,98,41
5/9/2023,55:53.0,9.44,2029,98,41
5/9/2023,55:53.2,9.41,2029,98,41
5/9/2023,55:53.4,9.95,2029,98,41
5/9/2023,55:53.7,9.71,2028,97,41
5/9/2023,55:53.9,9.97,2028,97,41
5/9/2023,55:54.3,9.78,2025,94,41
5/9/2023,55:54.5,9.73,2025,94,41
5/9/2023,55:54.8,9.59,2028,97,41
5/9/2023,55:55.0,9.95,2028,97,41
5/9/2023,55:55.3,9.91,2027,96,41
5/9/2023,55:55.5,9.81,2027,96,41
5/9/2023,55:55.8,10.26,2030,99,41
5/9/2023,55:56.1,10.04,2030,99,41
5/9/2023,55:56.3,9.5,2025,94,41
5/9/2023,55:56.6,9.8,2025,94,41
5/9/2023,55:56.8,9.77,2025,94,41
5/9/2023,55:57.1,9.73,2025,94,41
5/9/2023,55:57.4,9.51,2027,96,41
5/9/2023,55:57.6,9.81,2027,96,41
5/9/2023,55:57.9,9.66,2028,97,41
5/9/2023,55:58.1,9.92,2028,97,41
5/9/2023,55:58.4,10.04,2024,93,41
5/9/2023,55:58.7,9.71,2024,93,41
5/9/2023,55:58.9,9.63,2031,100,41
5/9/2023,55:59.2,9.49,2031,100,41
5/9/2023,55:59.4,9.84,2030,99,41
5/9/2023,55:59.7,10.11,2030,99,41
5/9/2023,56:00.0,9.47,2030,99,41
5/9/2023,56:00.2,9.78,2030,99,41
5/9/2023,56:00.5,9.47,2028,97,41
5/9/2023,56:00.7,9.09,2028,97,41
5/9/2023,56:01.0,9.94,2022,91,41
5/9/2023,56:01.3,10.05,2022,91,41
5/9/2023,56:01.6,9.96,2024,93,41
5/9/2023,56:01.7,9.67,2024,93,41
5/9/2023,56:02.0,9.55,2024,93,40
5/9/2023,56:02.3,9.62,2023,92,40
5/9/2023,56:02.5,9.87,2023,92,40
5/9/2023,56:02.8,9.68,2022,91,40
5/9/2023,56:03.1,9.2,2022,91,40
5/9/2023,56:03.4,9.66,2028,97,40
5/9/2023,56:03.6,9.88,2028,97,40
5/9/2023,56:03.9,9.25,2029,98,40
5/9/2023,56:04.1,9.68,2029,98,40
5/9/2023,56:04.4,10.05,2031,100,40
5/9/2023,56:04.7,9.65,2029,98,40
5/9/2023,56:04.9,9.59,2029,98,40
5/9/2023,56:05.2,10.08,2029,98,40
5/9/2023,56:05.4,10.01,2029,98,40
5/9/2023,56:05.7,9.03,2029,98,40
5/9/2023,56:05.9,10.01,2028,97,40
